Latitude,Longitude,
37.8648961,-122.2673922," 2100 HASTE ST, Berkeley, CA"
37.8876666,-122.2766392,"1100 THE ALAMEDA, Berkeley, CA"
37.866872,-122.269819," 2000 BANCROFT WAY, Berkeley, CA"
37.8547692,-122.2689219,"2000 ASHBY AVE, Berkeley, CA"
37.8565896,-122.255208," 2600 ASHBY AVE, Berkeley, CA"
37.8668811,-122.2952459," 2100 EIGHTH ST, Berkeley, CA"
37.8639383,-122.2605464," 2400 BLAKE ST, Berkeley, CA"
37.8692363,-122.2682686," 2200 SHATTUCK AVE, Berkeley, CA"
37.8804978,-122.2670633," 1500 OXFORD ST, Berkeley, CA"
37.8695859,-122.2523046," 2300 PIEDMONT AVE, Berkeley, CA"
37.8521407,-122.286737," ASHBY AVE& SAN PABLO AVE, Berkeley, CA"
37.8495184,-122.2726509,"1800 HARMON ST, Berkeley, CA"
37.8697709,-122.2865599,"1300 UNIVERSITY  AVE, Berkeley, CA"
37.8653665,-122.2840098," 2300 ACTON ST, Berkeley, CA"
37.8670075,-122.2615463," PROSPECT ST&  CHANNING WAY, Berkeley, CA"
37.8692363,-122.2682686," 2200 SHATTUCK AVE, Berkeley, CA"
37.8679467,-122.2784966," 2200 JEFFERSON AVE, Berkeley, CA"
37.8605781,-122.2911686,"1000 DWIGHT WAY, Berkeley, CA"
37.861346,-122.2502661," 2800 FOREST AVE, Berkeley, CA"
37.8668811,-122.2952459," 2100 EIGHTH ST, Berkeley, CA"
37.8542969,-122.2709825," 1900 ASHBY AVE, Berkeley, CA"
37.876953,-122.2605161," 2500 LE CONTE AVE, Berkeley, CA"
37.8571462,-122.2522844," 2700 ELMWOOD AVE, Berkeley, CA"
37.8681512,-122.268463,"SHATTUCK AVE& KITTREDGE ST, Berkeley, CA"
37.8721626,-122.2753248," 1800 BERKELEY WAY, Berkeley, CA"
37.8707434,-122.2773624,"1700 UNIVERSITY  AVE, Berkeley, CA"
37.8565896,-122.255208," 2600 ASHBY AVE, Berkeley, CA"
37.86246,-122.2719957,"BLAKE ST&   M  L KING JR WAY, Berkeley, CA"
37.861346,-122.2502661," 2800 FOREST AVE, Berkeley, CA"
37.862709,-122.297517," 2300 FIFTH ST, Berkeley, CA"
37.8539416,-122.2842341," 2900 MABEL ST, Berkeley, CA"
37.8552451,-122.2772128,"1600 RUSSELL ST, Berkeley, CA"
37.8918944,-122.2568568," 1100 MILLER AVE, Berkeley, CA"
37.877082,-122.256," 1700 HIGHLAND PL, Berkeley, CA"
37.864542,-122.2629652," 2300 DWIGHT WAY, Berkeley, CA"
37.8515037,-122.2785262," 1500 PRINCE ST, Berkeley, CA"
37.864097,-122.2929591," 2300 NINTH ST, Berkeley, CA"
37.8643728,-122.2918499," 2300 TENTH ST, Berkeley, CA"
37.856852,-122.2872245,"2700 WALLACE ST, Berkeley, CA"
37.8629155,-122.2591433," 2600 TELEGRAPH AVE, Berkeley, CA"
37.883001,-122.274621,"1300 ML  KING JR WAY, Berkeley, CA"
37.8684989,-122.2677872," 2100 KITTREDGE ST, Berkeley, CA"
,," 2100 CHANNING  WAY, Berkeley, CA"
37.8633653,-122.2720711,"1900 DWIGHT WAY, Berkeley, CA"
37.84701,-122.275419,"1600 SIXTY-THIRD ST, Berkeley, CA"
37.8633542,-122.2649969," 2200 BLAKE ST, Berkeley, CA"
37.8623555,-122.2645252," 2200 PARKER ST, Berkeley, CA"
37.8609553,-122.262256,"2700 ELLSWORTH ST, Berkeley, CA"
37.8835878,-122.269939,"1300 SHATTUCK  AVE, Berkeley, CA"
37.8684989,-122.2677872," 2100 KITTREDGE ST, Berkeley, CA"
37.8695859,-122.2523046," 2300 PIEDMONT AVE, Berkeley, CA"
37.8614041,-122.258906,"TELEGRAPH AVE& DERBY ST, Berkeley, CA"
37.896329,-122.2744936,"100 SOUTHAMPTON AVE, Berkeley, CA"
37.865689,-122.2539043," 2500 COLLEGE AVE, Berkeley, CA"
37.8669986,-122.2632481," 2300 DURANT AVE, Berkeley, CA"
37.8714469,-122.2660379," 2100 OXFORD ST, Berkeley, CA"
37.8684776,-122.2679492," KITTREDGE ST&  SHATIUCK AVE, Berkeley, CA"
37.8707434,-122.2773624,"1700 UNIVERSITY AVE, Berkeley, CA"
37.8679523,-122.2506506," 2900 CHANNING WAY, Berkeley, CA"
37.8686191,-122.2882428," 1200 ADDISON ST, Berkeley, CA"
37.8587645,-122.2713684,"1900 WARD ST, Berkeley, CA"
37.8559711,-122.2715487," 2900 ML  KING JR WAY, Berkeley, CA"
37.8633653,-122.2720711," 1900 DWIGHT WAY, Berkeley, CA"
37.8636146,-122.2536932,"2600 COLLEGE AVE, Berkeley, CA"
37.881558,-122.2900275," 1300 CURTIS ST, Berkeley, CA"
37.8620605,-122.2598964,"2400 CARLETON ST, Berkeley, CA"
37.8565896,-122.255208,"2600 ASHBY AVE, Berkeley, CA"
37.8721732,-122.2678009," UNIVERSITY AVE& SHATTUCK AVE, Berkeley, CA"
37.9026139,-122.2695957," 500 CRAGMONT AVE, Berkeley, CA"
37.8870563,-122.2781387," 1800 MONTEREY AVE, Berkeley, CA"
37.8788502,-122.2898647," 1400 NORTHSIDE AVE, Berkeley, CA"
37.8628137,-122.274084,"1800 DWIGHT WAY, Berkeley, CA"
